ISSN,Full Title,SCI/SCIE,Impact Factor,Rank,Category
0003-2999,ANESTHESIA AND ANALGESIA,SCI,3.827,4,ANESTHESIOLOGY
0003-2409,ANAESTHESIA,SCI,3.794,5,ANESTHESIOLOGY
0265-0215,EUROPEAN JOURNAL OF ANAESTHESIOLOGY,SCIE,3.634,6,ANESTHESIOLOGY
1098-7339,REGIONAL ANESTHESIA AND PAIN MEDICINE,SCIE,3.459,7,ANESTHESIOLOGY
1533-3159,PAIN PHYSICIAN,SCIE,3.407,8,ANESTHESIOLOGY
1090-3801,EUROPEAN JOURNAL OF PAIN,SCIE,2.900,9,ANESTHESIOLOGY
0898-4921,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,SCI,2.828,10,ANESTHESIOLOGY
0749-8047,CLINICAL JOURNAL OF PAIN,SCIE,2.712,11,ANESTHESIOLOGY
1530-7085,PAIN PRACTICE,SCIE,2.317,12,ANESTHESIOLOGY
0832-610X,CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE,SCI,2.139,13,ANESTHESIOLOGY
1155-5645,PEDIATRIC ANESTHESIA,SCIE,2.082,14,ANESTHESIOLOGY
0170-5334,ANASTHESIOLOGIE & INTENSIVMEDIZIN,SCIE,2.055,15,ANESTHESIOLOGY
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA,SCI,2.049,16,ANESTHESIOLOGY
0959-289X,INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,SCIE,2.040,17,ANESTHESIOLOGY
0375-9393,MINERVA ANESTESIOLOGICA,SCIE,2.036,18,ANESTHESIOLOGY
0952-7907,CURRENT OPINION IN ANESTHESIOLOGY,SCIE,1.916,19,ANESTHESIOLOGY
1387-1307,JOURNAL OF CLINICAL MONITORING AND COMPUTING,SCIE,1.819,20,ANESTHESIOLOGY
1053-0770,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,SCI,1.519,21,ANESTHESIOLOGY
0913-8668,JOURNAL OF ANESTHESIA,SCIE,1.343,22,ANESTHESIOLOGY
1471-2253,BMC ANESTHESIOLOGY,SCIE,1.320,23,ANESTHESIOLOGY
0952-8180,JOURNAL OF CLINICAL ANESTHESIA,SCIE,1.284,24,ANESTHESIOLOGY
0310-057X,ANAESTHESIA AND INTENSIVE CARE,SCI,1.283,25,ANESTHESIOLOGY
0003-2417,ANAESTHESIST,SCI,0.964,26,ANESTHESIOLOGY
0750-7658,ANNALES FRANCAISES D ANESTHESIE ET DE REANIMATION,,0.917,27,ANESTHESIOLOGY
0932-433X,SCHMERZ,SCI,0.894,28,ANESTHESIOLOGY
0034-7094,REVISTA BRASILEIRA DE ANESTESIOLOGIA,SCIE,0.517,29,ANESTHESIOLOGY
0939-2661,ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,SCIE,0.325,30,ANESTHESIOLOGY
2352-5568,ANAESTHESIA CRITICAL CARE & PAIN MEDICINE,SCIE,Not Available,31,ANESTHESIOLOGY
0378-5955,HEARING RESEARCH,SCI,3.565,1,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0093-934X,BRAIN AND LANGUAGE,SCI,3.038,2,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0743-4618,AUGMENTATIVE AND ALTERNATIVE COMMUNICATION,SCIE,2.960,3,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0196-0202,EAR AND HEARING,SCI,2.517,4,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1084-7138,TRENDS IN AMPLIFICATION,,2.500,5,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
2331-2165,TRENDS IN HEARING,SCIE,2.158,6,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0094-730X,JOURNAL OF FLUENCY DISORDERS,SCIE,2.022,7,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1463-1741,NOISE & HEALTH,SCIE,1.826,8,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1368-2822,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,SCIE,1.798,9,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1420-3030,AUDIOLOGY AND NEURO-OTOLOGY,SCI,1.776,10,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1499-2027,INTERNATIONAL JOURNAL OF AUDIOLOGY,SCIE,1.681,11,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,SCI,1.572,12,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1092-4388,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,SCIE,1.526,13,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
2327-3798,LANGUAGE COGNITION AND NEUROSCIENCE,SCIE,1.470,14,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1058-0360,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,SCIE,1.413,15,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1050-0545,JOURNAL OF THE AMERICAN ACADEMY OF AUDIOLOGY,SCIE,1.344,16,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0021-9924,JOURNAL OF COMMUNICATION DISORDERS,SCIE,1.278,17,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1059-0889,AMERICAN JOURNAL OF AUDIOLOGY,SCIE,1.125,18,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0023-8309,LANGUAGE AND SPEECH,SCIE,1.041,19,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1754-9507,INTERNATIONAL JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,SCIE,0.985,20,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0734-0478,SEMINARS IN SPEECH AND LANGUAGE,SCIE,0.907,21,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1401-5439,LOGOPEDICS PHONIATRICS VOCOLOGY,SCIE,0.750,22,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0269-9206,CLINICAL LINGUISTICS & PHONETICS,SCIE,0.617,23,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0031-8388,PHONETICA,SCIE,0.458,24,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
1021-7762,FOLIA PHONIATRICA ET LOGOPAEDICA,SCIE,0.391,25,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
0140-525X,BEHAVIORAL AND BRAIN SCIENCES,SCI,20.415,1,BEHAVIORAL SCIENCES
1364-6613,TRENDS IN COGNITIVE SCIENCES,SCI,17.850,2,BEHAVIORAL SCIENCES
0149-7634,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,SCI,8.580,3,BEHAVIORAL SCIENCES
0010-9452,CORTEX,SCI,4.314,4,BEHAVIORAL SCIENCES
1074-7427,NEUROBIOLOGY OF LEARNING AND MEMORY,SCI,3.439,5,BEHAVIORAL SCIENCES
1662-5153,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,SCIE,3.392,6,BEHAVIORAL SCIENCES
0018-506X,HORMONES AND BEHAVIOR,SCI,3.340,7,BEHAVIORAL SCIENCES
1601-1848,GENES BRAIN AND BEHAVIOR,SCIE,3.275,8,BEHAVIORAL SCIENCES
0001-8244,BEHAVIOR GENETICS,SCI,3.268,9,BEHAVIORAL SCIENCES
0301-0511,BIOLOGICAL PSYCHOLOGY,SCI,3.234,10,BEHAVIORAL SCIENCES
1090-5138,EVOLUTION AND HUMAN BEHAVIOR,SCI,3.223,11,BEHAVIORAL SCIENCES
0003-3472,ANIMAL BEHAVIOUR,SCI,3.169,12,BEHAVIORAL SCIENCES
0195-6663,APPETITE,SCI,3.125,13,BEHAVIORAL SCIENCES
1939-3792,AUTISM RESEARCH,SCIE,3.048,14,BEHAVIORAL SCIENCES
1045-2249,BEHAVIORAL ECOLOGY,SCI,3.029,15,BEHAVIORAL SCIENCES
0166-4328,BEHAVIOURAL BRAIN RESEARCH,SCI,3.002,16,BEHAVIORAL SCIENCES
0028-3932,NEUROPSYCHOLOGIA,SCI,2.989,17,BEHAVIORAL SCIENCES
1530-7026,COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,SCIE,2.886,18,BEHAVIORAL SCIENCES
0735-7044,BEHAVIORAL NEUROSCIENCE,SCI,2.690,19,BEHAVIORAL SCIENCES
0091-3057,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,SCI,2.537,20,BEHAVIORAL SCIENCES
0379-864X,CHEMICAL SENSES,SCI,2.500,21,BEHAVIORAL SCIENCES
0735-7036,JOURNAL OF COMPARATIVE PSYCHOLOGY,SCI,2.494,22,BEHAVIORAL SCIENCES
0096-140X,AGGRESSIVE BEHAVIOR,SCI,2.469,23,BEHAVIORAL SCIENCES
0031-9384,PHYSIOLOGY & BEHAVIOR,SCI,2.461,24,BEHAVIORAL SCIENCES
1025-3890,STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,SCIE,2.383,25,BEHAVIORAL SCIENCES
0340-5443,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,SCI,2.382,26,BEHAVIORAL SCIENCES
1525-5050,EPILEPSY & BEHAVIOR,SCIE,2.332,27,BEHAVIORAL SCIENCES
0196-206X,JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,SCIE,2.323,28,BEHAVIORAL SCIENCES
0022-5002,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,SCI,2.171,29,BEHAVIORAL SCIENCES
1435-9448,ANIMAL COGNITION,SCIE,2.161,30,BEHAVIORAL SCIENCES
2162-3279,BRAIN AND BEHAVIOR,SCIE,2.128,31,BEHAVIORAL SCIENCES
0006-8977,BRAIN BEHAVIOR AND EVOLUTION,SCI,2.103,32,BEHAVIORAL SCIENCES
0955-8810,BEHAVIOURAL PHARMACOLOGY,SCI,2.000,33,BEHAVIORAL SCIENCES
0340-7594,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,SCI,1.988,34,BEHAVIORAL SCIENCES
0065-3454,ADVANCES IN THE STUDY OF BEHAVIOR,SCI,1.933,35,BEHAVIORAL SCIENCES
1095-0680,JOURNAL OF ECT,SCIE,1.833,36,BEHAVIORAL SCIENCES
0168-1591,APPLIED ANIMAL BEHAVIOUR SCIENCE,SCI,1.795,37,BEHAVIORAL SCIENCES
0097-7403,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,SCI,1.779,38,BEHAVIORAL SCIENCES
0896-4289,BEHAVIORAL MEDICINE,SCIE,1.737,39,BEHAVIORAL SCIENCES
1744-9081,BEHAVIORAL AND BRAIN FUNCTIONS,SCIE,1.720,40,BEHAVIORAL SCIENCES
0179-1613,ETHOLOGY,SCI,1.717,41,BEHAVIORAL SCIENCES
0394-9370,ETHOLOGY ECOLOGY & EVOLUTION,SCI,1.655,42,BEHAVIORAL SCIENCES
2327-3798,LANGUAGE COGNITION AND NEUROSCIENCE,SCIE,1.470,43,BEHAVIORAL SCIENCES
0018-7208,HUMAN FACTORS,SCI,1.370,44,BEHAVIORAL SCIENCES
1558-7878,JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH,SCIE,1.366,45,BEHAVIORAL SCIENCES
0376-6357,BEHAVIOURAL PROCESSES,SCI,1.318,46,BEHAVIORAL SCIENCES
0005-7959,BEHAVIOUR,SCI,1.315,47,BEHAVIORAL SCIENCES
1543-4494,LEARNING & BEHAVIOR,SCI,1.254,48,BEHAVIORAL SCIENCES
0873-9749,ACTA ETHOLOGICA,SCIE,1.204,49,BEHAVIORAL SCIENCES
1543-3633,COGNITIVE AND BEHAVIORAL NEUROLOGY,SCIE,1.185,50,BEHAVIORAL SCIENCES
0289-0771,JOURNAL OF ETHOLOGY,SCIE,0.848,51,BEHAVIORAL SCIENCES
1548-7091,NATURE METHODS,SCI,25.328,1,BIOCHEMICAL RESEARCH METHODS
1754-2189,NATURE PROTOCOLS,SCIE,9.646,2,BIOCHEMICAL RESEARCH METHODS
1467-5463,BRIEFINGS IN BIOINFORMATICS,SCIE,8.399,3,BIOCHEMICAL RESEARCH METHODS
0958-1669,CURRENT OPINION IN BIOTECHNOLOGY,SCI,8.314,4,BIOCHEMICAL RESEARCH METHODS
2161-5063,ACS SYNTHETIC BIOLOGY,SCIE,6.076,5,BIOCHEMICAL RESEARCH METHODS
1535-9476,MOLECULAR & CELLULAR PROTEOMICS,SCI,5.912,6,BIOCHEMICAL RESEARCH METHODS
1367-4803,BIOINFORMATICS,SCI,5.766,7,BIOCHEMICAL RESEARCH METHODS
1473-0197,LAB ON A CHIP,SCI,5.586,8,BIOCHEMICAL RESEARCH METHODS
1553-734X,PLOS COMPUTATIONAL BIOLOGY,SCIE,4.587,9,BIOCHEMICAL RESEARCH METHODS
1043-1802,BIOCONJUGATE CHEMISTRY,SCI,4.500,10,BIOCHEMICAL RESEARCH METHODS
1752-7155,JOURNAL OF BREATH RESEARCH,SCIE,4.177,11,BIOCHEMICAL RESEARCH METHODS
1535-3893,JOURNAL OF PROTEOME RESEARCH,SCI,4.173,12,BIOCHEMICAL RESEARCH METHODS
1615-9853,PROTEOMICS,SCI,4.079,13,BIOCHEMICAL RESEARCH METHODS
0021-9673,JOURNAL OF CHROMATOGRAPHY A,SCI,3.926,14,BIOCHEMICAL RESEARCH METHODS
1874-3919,JOURNAL OF PROTEOMICS,SCI,3.867,15,BIOCHEMICAL RESEARCH METHODS
1864-063X,JOURNAL OF BIOPHOTONICS,SCIE,3.818,16,BIOCHEMICAL RESEARCH METHODS
1860-6768,BIOTECHNOLOGY JOURNAL,SCIE,3.781,17,BIOCHEMICAL RESEARCH METHODS
1046-2023,METHODS,SCI,3.503,18,BIOCHEMICAL RESEARCH METHODS
1542-6416,CLINICAL PROTEOMICS,SCIE,3.476,19,BIOCHEMICAL RESEARCH METHODS
1478-9450,EXPERT REVIEW OF PROTEOMICS,SCIE,3.465,20,BIOCHEMICAL RESEARCH METHODS
1746-4811,PLANT METHODS,SCIE,3.449,21,BIOCHEMICAL RESEARCH METHODS
2156-7085,BIOMEDICAL OPTICS EXPRESS,SCIE,3.344,22,BIOCHEMICAL RESEARCH METHODS
1871-6784,NEW BIOTECHNOLOGY,SCI,3.199,23,BIOCHEMICAL RESEARCH METHODS
1552-4922,CYTOMETRY PART A,SCI,3.181,24,BIOCHEMICAL RESEARCH METHODS
1618-2642,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,SCI,3.125,25,BIOCHEMICAL RESEARCH METHODS
1467-3037,CURRENT ISSUES IN MOLECULAR BIOLOGY,SCIE,3.083,26,BIOCHEMICAL RESEARCH METHODS
1754-1611,JOURNAL OF BIOLOGICAL ENGINEERING,SCIE,3.000,27,BIOCHEMICAL RESEARCH METHODS
1862-8346,PROTEOMICS CLINICAL APPLICATIONS,SCIE,2.959,28,BIOCHEMICAL RESEARCH METHODS
1090-7807,JOURNAL OF MAGNETIC RESONANCE,SCI,2.889,29,BIOCHEMICAL RESEARCH METHODS
1942-7603,DRUG TESTING AND ANALYSIS,SCIE,2.859,30,BIOCHEMICAL RESEARCH METHODS
1757-6180,BIOANALYSIS,SCIE,2.813,31,BIOCHEMICAL RESEARCH METHODS
1932-1058,BIOMICROFLUIDICS,SCI,2.708,32,BIOCHEMICAL RESEARCH METHODS
1570-0232,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,SCI,2.687,33,BIOCHEMICAL RESEARCH METHODS
1083-3668,JOURNAL OF BIOMEDICAL OPTICS,SCI,2.556,34,BIOCHEMICAL RESEARCH METHODS
1076-5174,JOURNAL OF MASS SPECTROMETRY,SCI,2.541,35,BIOCHEMICAL RESEARCH METHODS
2059-7983,ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,SCI,2.512,36,BIOCHEMICAL RESEARCH METHODS
0958-0344,PHYTOCHEMICAL ANALYSIS,SCI,2.497,37,BIOCHEMICAL RESEARCH METHODS
0173-0835,ELECTROPHORESIS,SCI,2.482,38,BIOCHEMICAL RESEARCH METHODS
1471-2105,BMC BIOINFORMATICS,SCIE,2.435,39,BIOCHEMICAL RESEARCH METHODS
0735-9640,PLANT MOLECULAR BIOLOGY REPORTER,SCIE,2.304,40,BIOCHEMICAL RESEARCH METHODS
0736-6205,BIOTECHNIQUES,SCI,2.298,41,BIOCHEMICAL RESEARCH METHODS
0003-2697,ANALYTICAL BIOCHEMISTRY,SCI,2.243,42,BIOCHEMICAL RESEARCH METHODS
0951-4198,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,SCI,2.226,43,BIOCHEMICAL RESEARCH METHODS
1087-0571,JOURNAL OF BIOMOLECULAR SCREENING,SCIE,2.218,44,BIOCHEMICAL RESEARCH METHODS
1535-3508,MOLECULAR IMAGING,SCIE,2.216,45,BIOCHEMICAL RESEARCH METHODS
0962-8819,TRANSGENIC RESEARCH,SCI,2.054,46,BIOCHEMICAL RESEARCH METHODS
0165-0270,JOURNAL OF NEUROSCIENCE METHODS,SCI,2.053,47,BIOCHEMICAL RESEARCH METHODS
1536-1241,IEEE TRANSACTIONS ON NANOBIOSCIENCE,SCIE,1.969,48,BIOCHEMICAL RESEARCH METHODS
0022-1759,JOURNAL OF IMMUNOLOGICAL METHODS,SCI,1.858,49,BIOCHEMICAL RESEARCH METHODS
0167-7012,JOURNAL OF MICROBIOLOGICAL METHODS,SCI,1.857,50,BIOCHEMICAL RESEARCH METHODS
1477-5956,PROTEOME SCIENCE,SCIE,1.746,51,BIOCHEMICAL RESEARCH METHODS
0269-3879,BIOMEDICAL CHROMATOGRAPHY,SCI,1.729,52,BIOCHEMICAL RESEARCH METHODS
1045-1056,BIOLOGICALS,SCI,1.690,53,BIOCHEMICAL RESEARCH METHODS
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,SCI,1.674,54,BIOCHEMICAL RESEARCH METHODS
1540-658X,ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,SCIE,1.655,55,BIOCHEMICAL RESEARCH METHODS
1545-5963,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,SCIE,1.609,56,BIOCHEMICAL RESEARCH METHODS
1053-0509,JOURNAL OF FLUORESCENCE,SCI,1.601,57,BIOCHEMICAL RESEARCH METHODS
1480-9222,BIOLOGICAL PROCEDURES ONLINE,SCIE,1.565,58,BIOCHEMICAL RESEARCH METHODS
0890-8508,MOLECULAR AND CELLULAR PROBES,SCI,1.565,58,BIOCHEMICAL RESEARCH METHODS
1751-8741,IET NANOBIOTECHNOLOGY,SCIE,1.541,60,BIOCHEMICAL RESEARCH METHODS
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,SCIE,1.537,61,BIOCHEMICAL RESEARCH METHODS
0362-4803,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,SCI,1.532,62,BIOCHEMICAL RESEARCH METHODS
0166-0934,JOURNAL OF VIROLOGICAL METHODS,SCI,1.508,63,BIOCHEMICAL RESEARCH METHODS
1748-7188,ALGORITHMS FOR MOLECULAR BIOLOGY,SCIE,1.439,64,BIOCHEMICAL RESEARCH METHODS
1046-5928,PROTEIN EXPRESSION AND PURIFICATION,SCI,1.407,65,BIOCHEMICAL RESEARCH METHODS
0580-9517,METHODS IN MICROBIOLOGY,SCIE,1.400,66,BIOCHEMICAL RESEARCH METHODS
0009-5893,CHROMATOGRAPHIA,SCI,1.332,67,BIOCHEMICAL RESEARCH METHODS
0021-9665,JOURNAL OF CHROMATOGRAPHIC SCIENCE,SCI,1.320,68,BIOCHEMICAL RESEARCH METHODS
2211-0682,JALA,SCIE,1.297,69,BIOCHEMICAL RESEARCH METHODS
1976-0280,BIOCHIP JOURNAL,SCIE,1.211,70,BIOCHEMICAL RESEARCH METHODS
1082-6068,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,SCI,1.114,71,BIOCHEMICAL RESEARCH METHODS
1386-2073,COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,SCIE,1.041,72,BIOCHEMICAL RESEARCH METHODS
2314-4920,JOURNAL OF SPECTROSCOPY,SCIE,0.814,73,BIOCHEMICAL RESEARCH METHODS
1574-8936,CURRENT BIOINFORMATICS,SCIE,0.770,74,BIOCHEMICAL RESEARCH METHODS
1082-6076,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,SCI,0.669,75,BIOCHEMICAL RESEARCH METHODS
2053-230X,ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,SCIE,0.647,76,BIOCHEMICAL RESEARCH METHODS
1570-1646,CURRENT PROTEOMICS,SCIE,0.590,77,BIOCHEMICAL RESEARCH METHODS
1078-8956,NATURE MEDICINE,SCI,30.357,1,BIOCHEMISTRY & MOLECULAR BIOLOGY
0092-8674,CELL,SCI,28.710,2,BIOCHEMISTRY & MOLECULAR BIOLOGY
0066-4154,ANNUAL REVIEW OF BIOCHEMISTRY,SCI,21.407,3,BIOCHEMISTRY & MOLECULAR BIOLOGY
1097-2765,MOLECULAR CELL,SCI,13.958,4,BIOCHEMISTRY & MOLECULAR BIOLOGY
0737-4038,MOLECULAR BIOLOGY AND EVOLUTION,SCI,13.649,5,BIOCHEMISTRY & MOLECULAR BIOLOGY
1545-9993,NATURE STRUCTURAL & MOLECULAR BIOLOGY,SCI,13.338,6,BIOCHEMISTRY & MOLECULAR BIOLOGY
1359-4184,MOLECULAR PSYCHIATRY,SCI,13.314,7,BIOCHEMISTRY & MOLECULAR BIOLOGY
